plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,DOY,cGDD
AB_16_MD_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,E,4,27,2,4,13,145,693.8
AB_16_VT_D,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,D,2,26,2,2,12,146,591.2
AB_16_VT_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,E,3,62,5,3,6,141,554.55
AB_18_VT_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,E,5,5,1,5,5,146,591.2
AB_18_VT_C,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,C,3,5,1,3,5,146,591.2
AB_18_NC_A,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,A,6,24,2,6,10,104,626.35
AB_18_MD_A,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,A,4,32,3,4,4,144,687.4
AB_18_MD_C,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,C,3,66,5,3,10,139,665.65
AB_18_MD_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,E,3,5,1,3,5,142,679.3
AB_18_NC_D,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,D,4,18,2,4,4,111,684.95
AB_18_VT_D,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,D,6,52,4,6,10,143,568.5
AB_18_VT_B,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,B,4,46,4,4,4,139,538.3
AB_18_MD_B,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,B,6,52,4,6,10,146,696.9
AB_18_NC_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,E,3,5,1,3,5,122,750.9
ALB_01_MD_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,A,4,11,1,4,11,137,657.5
ALB_01_NC_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,A,4,6,1,4,6,118,725.5
ALB_01_NC_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,B,4,4,1,4,4,118,725.5
ALB_01_NC_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,D,4,11,1,4,11,122,750.9
ALB_01_NC_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,C,6,21,2,6,7,118,725.5
ALB_01_VT_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,C,5,20,2,5,6,141,554.55
ALB_01_VT_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,A,6,35,3,6,7,141,554.55
ALB_01_VT_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,E,4,67,5,4,11,141,554.55
ALB_01_MD_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,C,4,4,1,4,4,139,665.65
ALB_01_VT_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,B,4,60,5,4,4,139,538.3
ALB_01_VT_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,D,4,6,1,4,6,141,554.55
ALB_01_MD_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,E,5,34,3,5,6,145,693.8
ALB_01_MD_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,B,4,65,5,4,9,130,613.55
ALB_01_NC_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,E,5,48,4,5,6,111,684.95
ALB_01_MD_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,D,6,21,2,6,7,135,642.5
ALB_02_NC_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,D,6,2,1,6,2,122,750.9
ALB_02_MD_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,E,3,61,5,3,5,133,629.9
ALB_02_MD_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,A,6,2,1,6,2,117,549.55
ALB_02_VT_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,C,3,61,5,3,5,141,554.55
ALB_02_NC_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,C,2,18,2,2,4,111,684.95
ALB_02_MD_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,D,2,18,2,2,4,143,683.5
ALB_02_MD_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,C,3,38,3,3,10,135,642.5
ALB_02_VT_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,A,2,32,3,2,4,143,568.5
ALB_02_NC_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,A,2,25,2,2,11,111,684.95
ALB_02_MD_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,B,2,53,4,2,11,133,629.9
ALB_02_VT_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,D,2,53,4,2,11,146,591.2
ALB_02_NC_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,B,3,52,4,3,10,97,570.9
ALB_02_NC_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,E,3,61,5,3,5,79,454.4
ALB_03_VT_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,D,6,66,5,6,10,141,554.55
ALB_03_VT_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,C,3,57,5,3,1,141,554.55
ALB_03_MD_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,C,6,14,1,6,14,141,674.8
ALB_03_VT_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,A,5,24,2,5,10,146,591.2
ALB_03_NC_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,B,6,14,1,6,14,111,684.95
ALB_03_MD_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,B,2,5,1,2,5,135,642.5
ALB_03_NC_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,C,5,38,3,5,10,111,684.95
ALB_03_MD_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,E,3,57,5,3,1,138,662.4
ALB_03_NC_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,D,5,67,5,5,11,111,684.95
ALB_03_VT_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,E,2,57,5,2,1,141,554.55
ALB_03_VT_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,B,3,4,1,3,4,146,591.2
