"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","FinalHT","Height_Fall2019","Growth"
"43","AB_16_MD_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"MD_E","Maryland","E",4,27,2,4,13,71,50,21
"44","AB_16_NC_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_A","North_Carolina","A",2,54,4,2,12,50,31,19
"45","AB_16_NC_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_B","North_Carolina","B",5,9,1,5,9,47.5,49,-1.5
"46","AB_16_NC_C","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_C","North_Carolina","C",5,10,1,5,10,35.5,25.5,10
"47","AB_16_NC_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_E","North_Carolina","E",4,41,3,4,13,44,26.5,17.5
"48","AB_16_VT_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"VT_B","Vermont","B",2,59,5,2,3,66.5,35,31.5
"49","AB_16_VT_D","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"VT_D","Vermont","D",2,26,2,2,12,48,28.5,19.5
"50","AB_16_VT_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"VT_E","Vermont","E",3,62,5,3,6,45,34,11
"51","AB_18_MD_A","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"MD_A","Maryland","A",4,32,3,4,4,41.5,29,12.5
"52","AB_18_MD_B","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"MD_B","Maryland","B",6,52,4,6,10,48,30.5,17.5
"53","AB_18_MD_C","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"MD_C","Maryland","C",3,66,5,3,10,38.5,24.5,14
"54","AB_18_MD_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"MD_E","Maryland","E",3,5,1,3,5,23,21.5,1.5
"55","AB_18_NC_A","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"NC_A","North_Carolina","A",6,24,2,6,10,56.5,33.5,23
"56","AB_18_NC_D","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"NC_D","North_Carolina","D",4,18,2,4,4,48,32,16
"57","AB_18_NC_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"NC_E","North_Carolina","E",3,5,1,3,5,48,33.5,14.5
"58","AB_18_VT_B","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"VT_B","Vermont","B",4,46,4,4,4,38,21.5,16.5
"59","AB_18_VT_C","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"VT_C","Vermont","C",3,5,1,3,5,47,33.5,13.5
"60","AB_18_VT_D","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"VT_D","Vermont","D",6,52,4,6,10,46.5,30,16.5
"61","AB_18_VT_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"VT_E","Vermont","E",5,5,1,5,5,60.5,40.5,20
"62","ALB_01_MD_A","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"MD_A","Maryland","A",4,11,1,4,11,56.5,34.5,22
"64","ALB_01_MD_C","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"MD_C","Maryland","C",4,4,1,4,4,57,35.5,21.5
