plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
AB_16_NC_A,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,A,2,54,4,2,12,262
AB_16_NC_D,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,D,6,12,1,6,12,280
AB_16_NC_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,E,4,41,3,4,13,217
AB_16_NC_B,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,B,5,9,1,5,9,290
AB_16_VT_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,E,3,62,5,3,6,288
AB_16_VT_D,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,D,2,26,2,2,12,291
AB_16_VT_B,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,B,2,59,5,2,3,246
AB_16_VT_A,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,A,3,61,5,3,5,249
AB_16_MD_B,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,B,2,26,2,2,12,242
AB_18_MD_B,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,B,6,52,4,6,10,261
AB_18_VT_C,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,C,3,5,1,3,5,267
AB_18_VT_D,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,D,6,52,4,6,10,284
AB_18_VT_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,E,5,5,1,5,5,267
AB_18_VT_B,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,B,4,46,4,4,4,207
AB_18_MD_C,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,C,3,66,5,3,10,226
AB_18_MD_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,E,3,5,1,3,5,252
AB_18_MD_A,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,A,4,32,3,4,4,267
AB_18_NC_A,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,A,6,24,2,6,10,262
AB_18_NC_D,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,D,4,18,2,4,4,260
AB_18_NC_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,E,3,5,1,3,5,254
ALB_01_VT_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,E,4,67,5,4,11,234
ALB_01_VT_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,A,6,35,3,6,7,288
ALB_01_NC_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,D,4,11,1,4,11,227
ALB_01_NC_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,C,6,21,2,6,7,266
ALB_01_NC_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,B,4,4,1,4,4,252
ALB_01_NC_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,A,4,6,1,4,6,252
ALB_01_NC_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,E,5,48,4,5,6,280
ALB_01_MD_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,B,4,65,5,4,9,219
ALB_01_MD_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,B,4,65,5,4,9,265
ALB_01_VT_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,B,4,60,5,4,4,260
ALB_01_VT_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,C,5,20,2,5,6,238
ALB_01_VT_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,D,4,6,1,4,6,291
ALB_01_MD_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,A,4,11,1,4,11,267
ALB_01_MD_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,E,5,34,3,5,6,267
ALB_01_MD_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,D,6,21,2,6,7,219
ALB_01_MD_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,C,4,4,1,4,4,268
ALB_02_VT_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,C,3,61,5,3,5,294
ALB_02_VT_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,A,2,32,3,2,4,294
ALB_02_MD_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,A,6,2,1,6,2,204
ALB_02_MD_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,A,6,2,1,6,2,231
ALB_02_MD_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,B,2,53,4,2,11,261
ALB_02_MD_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,D,2,18,2,2,4,204
ALB_02_MD_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,E,3,61,5,3,5,252
ALB_02_MD_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,C,3,38,3,3,10,278
ALB_02_NC_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,B,3,52,4,3,10,197
ALB_02_NC_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,C,2,18,2,2,4,206
ALB_02_NC_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,E,3,61,5,3,5,290
ALB_02_NC_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,A,2,25,2,2,11,290
ALB_02_VT_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,E,3,24,2,3,10,298
ALB_02_VT_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,D,2,53,4,2,11,249
ALB_03_VT_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,D,6,66,5,6,10,246
ALB_03_VT_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,E,2,57,5,2,1,277
ALB_03_MD_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,A,5,67,5,5,11,267
ALB_03_MD_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,C,6,14,1,6,14,278
ALB_03_MD_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,D,5,52,4,5,10,247
ALB_03_VT_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,B,3,4,1,3,4,291
ALB_03_VT_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,C,3,57,5,3,1,294
ALB_03_VT_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,A,5,24,2,5,10,294
ALB_03_MD_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,E,3,57,5,3,1,267
ALB_03_MD_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,B,2,5,1,2,5,265
ALB_03_NC_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,D,5,67,5,5,11,280
ALB_03_NC_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,C,5,38,3,5,10,220
ALB_03_NC_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,A,6,66,5,6,10,262
ALB_03_NC_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,B,6,14,1,6,14,220
ALB_03_NC_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,E,3,57,5,3,1,210
ALB_05_MD_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,D,3,14,1,3,14,274
ALB_05_MD_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,E,6,31,3,6,3,210
ALB_05_MD_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,A,4,58,5,4,2,260
ALB_05_NC_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,A,5,40,3,5,12,203
ALB_05_NC_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,E,6,45,4,6,3,199
ALB_05_NC_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,C,3,14,1,3,14,269
ALB_05_NC_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,D,4,58,5,4,2,220
ALB_05_VT_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,B,4,13,1,4,13,284
ALB_05_VT_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,C,6,17,2,6,3,256
ALB_05_VT_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,A,5,57,5,5,1,249
ALB_05_NC_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,B,6,61,5,6,5,259
ALB_05_VT_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,E,2,10,1,2,10,218
ALB_05_VT_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,D,5,40,3,5,12,260
ALB_05_MD_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,C,6,61,5,6,5,274
ALB_05_MD_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,B,5,40,3,5,12,274
ALB_06_VT_C,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,C,3,69,5,3,13,274
ALB_06_VT_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,D,2,56,4,2,14,284
ALB_06_MD_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,A,4,27,2,4,13,252
ALB_06_MD_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,B,2,56,4,2,14,261
ALB_06_MD_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,D,6,63,5,6,7,277
ALB_06_MD_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,E,3,69,5,3,13,242
ALB_06_MD_C,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,C,4,28,2,4,14,204
ALB_06_NC_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,B,4,28,2,4,14,203
ALB_06_NC_C,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,C,6,63,5,6,7,210
ALB_06_NC_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,A,2,28,2,2,14,199
ALB_06_NC_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,D,4,41,3,4,13,280
ALB_06_VT_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,A,2,8,1,2,8,204
ALB_06_VT_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,E,4,42,3,4,14,288
ALB_06_VT_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,B,4,41,3,4,13,249
ALB_06_NC_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,E,3,69,5,3,13,280
APP_01_VT_B,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,B,6,51,4,6,9,196
APP_01_VT_E,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,E,6,44,4,6,2,291
APP_01_VT_C,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,C,6,9,1,6,9,196
APP_01_NC_E,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,E,6,9,1,6,9,290
APP_01_VT_A,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,A,3,59,5,3,3,242
APP_01_MD_A,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,A,6,37,3,6,9,252
APP_01_MD_C,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,C,6,44,4,6,2,259
APP_01_MD_D,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,D,5,12,1,5,12,256
APP_01_MD_B,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,B,5,19,2,5,5,242
APP_01_MD_E,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,E,6,9,1,6,9,260
APP_01_NC_B,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,B,6,30,3,6,2,238
APP_01_NC_A,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,A,5,47,4,5,5,280
APP_01_NC_C,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,C,5,12,1,5,12,210
APP_01_NC_D,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,D,6,23,2,6,9,199
APP_02_MD_B,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,B,5,41,3,5,13,261
APP_02_MD_C,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,C,4,56,4,4,14,274
APP_02_MD_D,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,D,3,21,2,3,7,274
APP_02_MD_E,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,E,2,41,3,2,13,267
APP_02_MD_A,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,A,5,61,5,5,5,260
APP_02_NC_A,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,A,5,41,3,5,13,280
APP_02_NC_B,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,B,4,42,3,4,14,206
APP_02_NC_E,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,E,2,55,4,2,13,210
APP_02_NC_C,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,C,3,21,2,3,7,206
APP_02_NC_D,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,D,5,61,5,5,5,210
APP_02_VT_B,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,B,3,10,1,3,10,246
APP_02_VT_D,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,D,5,41,3,5,13,213
APP_02_VT_C,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,C,2,27,2,2,13,256
APP_02_VT_A,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,A,3,35,3,3,7,253
APP_03_MD_B,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,B,3,25,2,3,11,265
APP_03_MD_C,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,C,4,12,1,4,12,247
APP_03_MD_D,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,D,4,31,3,4,3,277
APP_03_MD_A,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,A,3,8,1,3,8,207
APP_03_MD_E,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,E,3,3,1,3,3,255
APP_03_NC_D,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,D,3,8,1,3,8,262
APP_03_NC_A,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,A,3,53,4,3,11,276
APP_03_NC_C,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,C,4,45,4,4,3,227
APP_03_NC_B,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,B,4,12,1,4,12,210
APP_03_VT_D,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,D,3,25,2,3,11,291
APP_03_VT_C,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,C,3,3,1,3,3,294
APP_03_VT_A,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,A,4,45,4,4,3,249
APP_03_NC_E,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,E,3,3,1,3,3,199
APP_04_NC_B,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,B,5,30,3,5,2,213
APP_04_NC_A,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,A,6,11,1,6,11,203
APP_04_VT_D,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,D,6,11,1,6,11,196
APP_04_VT_A,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,A,6,47,4,6,5,294
APP_04_VT_E,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,E,5,44,4,5,2,204
APP_04_VT_B,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,B,4,31,3,4,3,242
APP_04_VT_C,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,C,4,49,4,4,7,256
APP_04_MD_C,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,C,5,44,4,5,2,274
APP_04_MD_A,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,A,4,17,2,4,3,203
APP_04_MD_E,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,E,4,21,2,4,7,255
APP_04_MD_B,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,B,2,60,5,2,4,261
APP_04_MD_D,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,D,6,33,3,6,5,205
APP_04_NC_E,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,E,4,35,3,4,7,199
APP_04_NC_C,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,C,6,47,4,6,5,220
APP_04_NC_D,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,D,4,31,3,4,3,213
APP_05_MD_A,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,A,6,31,3,6,3,267
APP_05_MD_B,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,B,6,41,3,6,13,261
APP_05_MD_C,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,C,2,10,1,2,10,226
APP_05_MD_E,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,E,5,55,4,5,13,260
APP_05_MD_D,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,D,6,27,2,6,13,224
APP_05_NC_D,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,D,6,17,2,6,3,199
APP_05_NC_A,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,A,6,41,3,6,13,262
APP_05_NC_B,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,B,2,10,1,2,10,252
APP_05_VT_B,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,B,6,45,4,6,3,196
APP_05_VT_B,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,B,6,45,4,6,3,260
APP_05_VT_A,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,A,6,41,3,6,13,234
APP_05_VT_E,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,E,6,61,5,6,5,291
APP_05_VT_D,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,D,6,41,3,6,13,234
APP_05_VT_C,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,C,5,41,3,5,13,298
