"","Family","Population","Region","Latitude","Longitude","Elevation","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","BudBreak_cGDD","BudBreak_DOY","BudSet_2019","BudSet_2020","Growth_2019","Growth_2020"
"245","OKE_04","OKE","Core",43.40522,72.75047,1020,3.02955809100388,0.728383511131368,-0.0240089414756642,-0.0411152911336825,-0.152362869008634,0.867107269694975,0.336888672876058,-0.123879731190885,0.0299733982789605,-0.113705804648659,0.0220592503661154,24.5520982153662,8.66188070244645,3.67607294567717,5.51330300290851,0.193497778250652,0.948456723358832
"246","OKE_05","OKE","Core",43.40388,72.75101,1020,3.04792274124778,0.731600727564259,-0.00842133222284003,-0.0378133457122157,-0.138683897944542,0.864832393961622,0.340356143438952,-0.0958253309055924,0.0176982775116708,-0.116454822841432,0.0227649071876747,18.936294906248,9.34385179626605,2.27083113925011,5.69820294726741,0.0759504994697943,1.16316089632408
"247","OKE_06","OKE","Core",43.40847,72.74814,953,2.93046813699189,0.409824602744857,-0.318942462281858,-0.065410140868834,-0.279982525402764,0.762872737423538,0.373980336196517,-0.0540593200126882,0.0104148049188982,-0.0701124018117045,0.0199464026899789,23.042582779099,8.91478441315622,3.49916099352287,5.65433644590734,0.15215753926381,0.503384101581404
"248","OWL_01","OWL","Core",44.29606,72.2939,580,1.81660714478799,-1.95862974201512,-0.684536444949271,0.0462722959184473,0.0774747703786361,-0.43822838065737,-0.158826453231922,0.101961787379121,0.248562982699058,0.169381989866165,0.0455374621164141,24.4306786576858,8.66894306216598,4.21746848237312,5.32695525717481,0.0378076208628179,0.80849712045968
"249","OWL_02","OWL","Core",44.2958,72.29314,581,1.80574908395452,-1.96118875720281,-0.695298094349994,0.0422786371467316,0.0687189610715934,-0.435895645137786,-0.159916413939449,0.0777437126455156,0.257190525079183,0.172616455335263,0.0467930833946144,24.9681273811637,8.58195804253551,3.6263282041599,5.5455441927182,0.140644021857404,1.09550558041107
"250","OWL_03","OWL","Core",44.29611,72.29464,584,1.83439234011918,-1.94596264812419,-0.674258368619003,0.0464458226964467,0.0717372878352766,-0.448969863541728,-0.144835417701116,0.121207830646822,0.237210432643539,0.168152499564565,0.0468777314408917,29.1548739446738,8.05510325509896,2.75448349868242,5.65961093071813,0.150945347494403,0.859573352147132
"251","OWL_04","OWL","Core",44.29652,72.29517,589,1.85195175667414,-1.9257448182513,-0.670295413375868,0.0441017692553096,0.0615112558045919,-0.459107468500026,-0.143250519877863,0.138430179753917,0.232922063344261,0.173220801925847,0.0501118034303953,29.5425786174834,8.09885635056857,4.27462476201306,5.86780513175166,0.246605025808598,0.643045059320952
"252","PRK_01","PRK","Edge",38.32659,80.15412,1440,-1.23850896006563,1.67745326531597,-0.369521751634474,0.511250952160969,0.446936401427733,-0.80257292197513,0.0971774325662943,-0.608694486400449,-0.174358014782529,-0.0651735803033508,-0.025745308387635,35.2488688440377,7.356443098166,4.5914953472643,5.91274907910572,0.0161737703759123,1.01633029456871
"253","PRK_02","PRK","Edge",38.33402,80.15413,1398,-1.19502301004618,1.58068500077137,-0.309992521716085,0.520825269282966,0.405137981711699,-0.750970106849357,0.0879668696611145,-0.46388601602269,-0.207067980630993,-0.0995937482819424,-0.0110301638296982,35.5097414886527,7.29124419810799,3.60814101248547,5.46540193933639,0.145558718295649,0.882505950259017
"254","PRK_03","PRK","Edge",38.34276,80.16302,1268,-1.40519225077605,1.00393497981884,-0.794663117514415,0.309995066415004,0.337451190842745,-0.798105901327363,0.182055554311446,-0.309379237236017,-0.19761165283693,0.0288736135712346,-0.0357936937311668,30.3279583832644,7.93343687169062,2.13479895028241,5.61396783257425,0.0123100039960223,1.05742220642983
"255","PRK_04","PRK","Edge",38.34618,80.16209,1262,-1.34292836706274,0.993793798549539,-0.752275503827282,0.286467286301666,0.307944630690927,-0.776906202692981,0.191249540319739,-0.253901345054848,-0.205078767521582,0.0214950872891589,-0.0562473023098593,29.6949486781723,7.97596195675179,3.13520947511259,6.37430985817043,0.288020620779651,0.83153602078612
"256","PRK_05","PRK","Edge",38.34659,80.16196,1267,-1.31781652288161,0.98045208200265,-0.74847189785227,0.28015571656624,0.272249619433624,-0.730624311122906,0.182366914715561,-0.246755461972302,-0.202066119011367,0.0305537182039936,-0.0544009855624125,37.1137233854672,7.07979805925576,2.10278091391448,5.97169941243954,0.263064866371242,0.427362886431978
"258","PRO_02","PRO","Core",44.52773,72.8672,425,1.50528905560314,-0.541153638034698,0.339751276503137,-0.474781946901309,-0.850464692505324,-0.407932609355609,-0.0226945229529668,0.0364956782828947,0.16796604019142,-0.00973141719517736,-0.0579389150197347,27.7361783690546,8.30246208516579,1.2333908474494,6.07310760285744,0.160263153081869,0.797211124229735
"259","PRO_03","PRO","Core",44.52746,72.86732,420,1.43661258555226,-0.595463496343653,0.380980539072507,-0.49796190736803,-0.866101873118686,-0.433439458492322,0.0041498217389387,0.0637902575545363,0.161706838661578,0.0696294915312084,-0.038924018878433,23.467130983939,8.74046588966802,3.83977411669507,5.37941470980844,0.0990866183644519,0.263416846541521
"260","PRO_04","PRO","Core",44.52844,72.86649,429,1.53212933848134,-0.515774122347695,0.3475577459537,-0.490054146782066,-0.855214425685363,-0.413228200087788,-0.020226328238451,0.0463178822560387,0.155940323933,-0.00116414794248344,-0.0528989063265197,21.0971341274913,9.04042533842948,3.01108779360152,6.13529274122797,0.184872501659986,0.70989133614423
"261","RP_01","RP","Edge",35.60925,83.44671,1617,-2.55379286605097,4.21336132789053,-0.931839829331439,-1.55202262390576,0.24751013097435,0.244604770100064,-0.936330757549963,0.124065410522745,0.196560703244195,-0.0495988223521714,0.0399813901143898,31.0980583814799,7.79569249247944,2.60911952584403,5.52588303573491,0.21313995486228,0.915589158631327
"262","RP_03","RP","Edge",35.60989,83.44798,1586,-2.47541380796657,4.05316045600745,-1.13322403911662,-1.63352695705374,0.22710092886542,0.29405142128835,-0.843298420652095,0.279016091152353,0.186657347404249,-0.00920676347380606,0.0149883549705005,36.7401495427392,7.14489349131325,2.45345626008516,5.73949226171194,0.327634178943734,0.681468358771361
