"","Family","Pop","Tree","State","Region","Date","lat","lon","Elevation","BudSet2019_Plasticity","BudSet2020_Plasticity","BudBreak2020_Plasticity","growth2019_Plasticity","growth2020_Plasticity"
"1","AB_05","AB",5,"TN","E",9002016,35.55297,-83.49438,1812,0.0973804324227394,0.116854802571511,-0.262494322503802,-0.0687678278740816,-0.0244784392018752
"2","AB_08","AB",8,"TN","E",9002016,35.55212,-83.49259,1785,0.0451739456493086,0.141167574568366,-0.212108773473913,0.0379559250741549,0.330137598295172
"3","AB_12","AB",12,"TN","E",9002016,35.5389,-83.49463,1750,0.0356162530709443,0.135652566077735,-0.242603821929568,0.0441244998095938,0.27183592170395
"4","AB_16","AB",16,"TN","E",9002016,35.53882,-83.49534,1738,0.0777310685421255,0.107013659465416,-0.2467093753452,-0.0676671563379321,0.289275578844845
"5","AB_18","AB",18,"TN","E",9002016,35.53945,-83.49375,1769,0.0454053551994485,0.121824029095889,-0.21264819131208,0.153465775950742,0.0309350885746414
"6","ALB_01","ALB",1,"ME","C",11112017,44.3067,-70.84019,455,0.0565865758017629,0.115001612313965,-0.270169019359494,-0.122994498513344,0.160075988828497
"7","ALB_02","ALB",2,"ME","C",11112017,44.30564,-70.84081,524,0.110762269246645,0.151352883116382,-0.155806660371584,-0.120076979529594,0.276941478354196
"8","ALB_03","ALB",3,"ME","C",11112017,44.30359,-70.84096,523,0.119152596318076,0.11341082582119,-0.213585733378856,0.0944504690798556,0.172181002977346
"9","ALB_05","ALB",5,"ME","C",11112017,44.30182,-70.83729,573,0.0848201485167681,0.149544874990101,-0.244607086551839,0.0402072164577957,0.22540779291849
"10","ALB_06","ALB",6,"ME","C",11112017,44.30061,-70.83641,589,0.0890461698331947,0.130978589319334,-0.234934912714304,-0.114395469318155,0.214347052799944
"11","APP_01","APP",1,"VT","C",9022017,44.20933,-72.9295,743,0.0246333821992528,0.121284304721984,-0.218537540834214,0.0403376185077228,0.312238597635288
"12","APP_02","APP",2,"VT","C",9022017,44.21172,-72.92999,780,0.082372524840383,0.106071256426861,-0.192584651795834,-0.00872820623807906,0.0961762585406063
"13","APP_03","APP",3,"VT","C",9022017,44.22097,-72.92639,896,0.117091848810225,0.107932200759437,-0.26057203275778,0.0449763924266564,0.345628056829265
"14","APP_04","APP",4,"VT","C",9292017,44.2114,-72.93122,741,0.09309863344796,0.128985711951597,-0.261037430554534,0.122566229024137,0.221785619412981
