"Garden","Year","Population","Family","Region","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","Group"
"MD","2019",NA,NA,NA,-4.70421829098285,-4.1013967329013,2.33453804677676,-0.110607083443742,2.2691785411817,0.383187315204751,-0.313508269965989,0.527017921794685,0.0331136820999714,0.316980176279232,-0.309013378004064,"MD"
"MD","2020",NA,NA,NA,-4.87787051551577,-2.9740982027066,2.35554834066143,-0.191176667457619,0.686688225384334,0.023121565256971,0.39727432706597,0.876174716244395,-0.22035625184253,0.366418059612009,-0.040096577890832,"MD"
"NC","2019",NA,NA,NA,-10.5460402327885,-6.32853545718184,2.54230922872494,-3.07156047991834,3.34743911959879,0.832696159181509,2.32158994566627,-0.486194209710209,0.66195965113211,-0.112256360625708,0.0288038040648783,"NC"
"NC","2020",NA,NA,NA,-9.16118094459323,-3.69179321526388,2.80039931957177,-4.46851747413179,1.18069758211865,0.39751655869519,1.51681512010235,0.240619994799849,0.452587419283624,0.146586798286898,0.131904437983456,"NC"
"VT","2019",NA,NA,NA,-2.50715082033783,-5.39317507259996,3.6951925230787,-1.14232853875003,0.808843380875263,-1.43672556753089,-0.302491691472719,1.06656415772329,-0.32483848989026,0.0516455248135554,-0.208035065573667,"VT"
"VT","2020",NA,NA,NA,-4.38368711978011,-6.22357614709199,3.37690120325988,-0.470596301798772,1.96138915185234,-0.325179093234225,-0.317370905924181,1.03368241390287,-0.316710258209834,-0.639244073786647,-0.330509677394261,"VT"
NA,NA,"AB","AB_05","Edge",-2.43917820409998,4.76418137372042,-0.867218059466394,-1.05919478827167,1.26025575924119,-0.48886911670783,-0.67232465439462,0.16059423958398,-0.0271274885041495,-0.10967956428542,-0.0258921223978371,"Edge"
NA,NA,"AB","AB_08","Edge",-2.56260326653772,4.60439168053542,-0.87673334858999,-1.09255108603836,1.10032233029219,-0.447592655709928,-0.662983692093196,0.104228553765668,-0.0090397123886721,-0.0203835919612429,0.0085287734336819,"Edge"
NA,NA,"AB","AB_12","Edge",-2.88169229291207,4.28490746365111,-1.25357332059896,-1.04656811472717,1.17198557749772,-0.892614446528662,-0.530451170220773,-0.0590838450700296,-0.0583652982178367,-0.000870921529664698,0.0383809027862655,"Edge"
NA,NA,"AB","AB_16","Edge",-2.82387817764868,4.21114639750153,-1.47451694049863,-1.11230529518082,1.23669783995754,-0.900706127473144,-0.430890717425104,0.051055647207043,-0.0506392195960444,0.0502579999667954,-0.00669771224454845,"Edge"
NA,NA,"AB","AB_18","Edge",-2.88864662069922,4.35801758776731,-1.27256375014161,-1.05215588401499,1.21696410319139,-0.900553611096903,-0.531933311483194,-0.107234240491297,-0.0341006857247888,0.0131902568302789,0.0170628933966425,"Edge"
NA,NA,"ALB","ALB_01","Core",1.17729781703959,-1.94802826364754,-0.56544313502202,0.426900251053904,0.279908752108254,0.103909541496024,0.027458468541799,-0.22418494636479,-0.0776433850016099,0.186581221757471,-0.0387596621937217,"Core"
NA,NA,"ALB","ALB_02","Core",1.30160561494471,-1.51200181354287,-0.337982966805173,0.488847641747699,0.127105113995644,0.139990489187093,0.113071934266344,-0.329310090792116,-0.0763067747079097,0.182577870904202,-0.0158342966058771,"Core"
NA,NA,"ALB","ALB_03","Core",1.31594437854398,-1.51559329552629,-0.315841500898215,0.499343345555379,0.143629784629118,0.134603031092157,0.125426553965293,-0.285783586266748,-0.0943271286915367,0.169859702883614,-0.0205718808230547,"Core"
NA,NA,"ALB","ALB_05","Core",1.41420272126659,-1.30388405946336,-0.299820039004418,0.478087143742466,0.177497941318152,0.124832620076441,0.187675150533614,-0.265991684960051,-0.109949318835787,0.197858385632041,-0.0308082045096054,"Core"
NA,NA,"ALB","ALB_06","Core",1.43501009249493,-1.23908413743065,-0.307328333177716,0.470627696519023,0.16012554557042,0.140670288643354,0.220839048975144,-0.297998625467917,-0.092666343692038,0.206860511094807,-0.0528197317190306,"Core"
NA,NA,"APP","APP_01","Core",2.4827294004705,0.697115349838684,0.328169963318909,-0.218327764620896,0.255071953435833,-0.328715515833301,0.146170384649084,-0.296007094888556,0.0834498249022653,0.00935122449937828,-0.00790420653763259,"Core"
NA,NA,"APP","APP_02","Core",2.49514240041787,0.827465845703879,0.588764407288175,-0.157479919198392,0.245095877687547,-0.292005594218695,0.0647157430852159,-0.363063108295568,0.0721682915046659,-0.0400580771288215,0.0235794331808425,"Core"
NA,NA,"APP","APP_03","Core",2.66405968875785,1.21226678226952,0.900032342316252,-0.125915509317349,0.420700496907277,-0.133946421902943,0.068554404894404,-0.498034594594666,0.123289051077368,-0.0594745281217782,-0.031340718305875,"Core"
NA,NA,"APP","APP_04","Core",2.48042492373757,0.667743333656948,0.334246987742592,-0.202945202558578,0.211750182820221,-0.295287195682947,0.144846057632136,-0.25089666944926,0.100783363897551,-0.00731550561221654,-0.0163972442181059,"Core"
NA,NA,"APP","APP_05","Core",2.47744129622667,0.631294836173237,0.334729648275551,-0.212285921436996,0.198521536218276,-0.320872797457644,0.130678379770538,-0.24876439532116,0.069282767087647,-0.000644770614977461,0.0098568568090772,"Core"
NA,NA,"APP","APP_06","Core",2.24694734183514,0.40526346871024,0.302996420760515,-0.185777145812321,-0.0224865975822591,-0.341750950244949,0.109318623511217,-0.198723909445841,0.114098121766966,0.0348118446571297,0.0316217511362977,"Core"
NA,NA,"ASC","ASC_01","Core",1.52556622470025,-0.222111191976986,0.270583406530714,0.0616463685860876,-0.129750051371005,0.334763584505511,0.121922406080771,-0.113652123113205,-0.154751106537525,0.12442719172069,-0.080889541701895,"Core"
NA,NA,"ASC","ASC_02","Core",1.62665920360503,-0.447391983819565,0.0467564131156559,0.0655595926481016,-0.0712304032908765,0.311213510689223,0.153488877340506,0.0931696299064474,-0.202611696572835,0.0626098019937656,-0.0760388351187632,"Core"
NA,NA,"ASC","ASC_03","Core",1.68105520995292,-0.394691594440481,0.0501336227496709,0.0752554863674541,-0.0929819793268441,0.389031306981088,0.173371658358681,0.10364701547207,-0.195272249957207,0.0806859857452194,-0.069682183202428,"Core"
NA,NA,"ASC","ASC_04","Core",1.67340470914531,-0.386904441628603,0.025754674661394,0.0668939040020431,-0.108569547902982,0.397513852687538,0.157579549614622,0.052255741421489,-0.186501523841616,0.102785421007232,-0.0655137568416266,"Core"
NA,NA,"ASC","ASC_05","Core",1.68493303522826,-0.373090482043839,0.00922547013811453,0.06537600554189,-0.144946122316515,0.476848797580654,0.169607759191432,-0.00337960142937299,-0.147469088305864,0.115678418331245,-0.0883023700090122,"Core"
NA,NA,"ASC","ASC_06","Core",1.8899312023009,-0.00564413038226466,0.366827773103662,0.0580942953033504,-0.110644405719396,0.538883979088737,0.162928769594404,0.0973165755087367,-0.228894402314377,0.0673686996009112,-0.0738920805625765,"Core"
NA,NA,"B","B_02","Core",0.478062931762958,-1.83915447981208,0.0552644473654624,-0.0818265841482502,-0.344788874392845,-0.476385595272137,-0.206460358461399,0.0963627702683059,0.305736175878689,0.0549687613907088,-0.027872135959116,"Core"
NA,NA,"B","B_03","Core",0.511165506381248,-1.72689111327226,0.0365553927965657,-0.0945597527352888,-0.389813039537304,-0.466000433223349,-0.16533673691373,0.0771239490028215,0.316704664087503,0.0747310760043276,-0.0200041676808519,"Core"
NA,NA,"B","B_04","Core",0.525531655828963,-1.70104422434175,0.0381005553899492,-0.107199823016613,-0.417769008067583,-0.483097686437982,-0.145405460671037,0.0803401239476526,0.311498158105056,0.0759834926488242,-0.0168503640809505,"Core"
NA,NA,"B","B_05","Core",0.428762060291901,-1.86563032142474,0.0226373149160308,-0.0875488069387569,-0.358917654592057,-0.461080298368161,-0.212891981978702,0.0219245389518627,0.332325946553795,0.0565159888834627,-0.0306435721222505,"Core"
NA,NA,"B","B_06","Core",0.496656158817067,-1.78941473632855,0.0377565177617107,-0.11096145292487,-0.398890320681554,-0.494757508302771,-0.19462403156722,0.0621796896942005,0.30695174013107,0.0769640302025443,-0.018206014793816,"Core"
NA,NA,"BAL","BAL_01","Core",1.43990245447399,-1.52482065153923,-0.300922365154276,0.0133598637910287,-0.354577569248275,0.0405682214964356,-0.209766297244217,-0.133287284670068,0.424053426949924,0.151637442564845,-0.0147838861643573,"Core"
NA,NA,"BAL","BAL_02","Core",1.70357328948666,-1.18864631633496,-0.308503021628543,-0.000806283556049264,-0.378086725971167,0.0740874525418303,-0.14457257830385,-0.125602494918941,0.470514379177912,0.121745814577207,-0.0591555478361949,"Core"
NA,NA,"BAL","BAL_03","Core",1.83968958471172,-0.985709927728469,-0.282803385719408,-0.0153824525181477,-0.391561797479292,0.0897191866321167,-0.0789135738632323,-0.0738832452796467,0.479466793396313,0.153879524566679,-0.0533132280149151,"Core"
NA,NA,"BAL","BAL_04","Core",2.00464771897623,-0.871248175909902,-0.278978851973191,-0.0075719378422433,-0.375274980806385,0.0825427443081263,-0.0810249458643727,-0.0221239423555982,0.460427150158244,0.084815886847136,-0.0467738821997615,"Core"
NA,NA,"BAL","BAL_05","Core",2.06922796106812,-0.62897463985547,-0.0283091027535532,0.0384081309291359,-0.463558698528908,0.0897723739312425,-0.0967211112050777,-0.107908339238143,0.491083573120786,0.0501658019753052,-0.0138789344530971,"Core"
NA,NA,"BAL","BAL_10","Core",2.76061062995658,0.491150067187959,0.492656251588104,-0.0232177683771707,-0.535072024520689,0.460264146761239,-0.0638194192831895,-0.317013328671772,0.651389854238819,-0.0833657046790992,0.0250853464265549,"Core"
