"","Family","Pop","Tree","State","Region","Date","lat","lon","Elevation","DBH","bio1_13","bio2_13","bio3_13","bio4_13","bio5_13","bio6_13","bio7_13","bio8_13","bio9_13","bio10_13","bio11_13","bio12_13","bio13_13","bio14_13","bio15_13","bio16_13","bio17_13","bio18_13","bio19_13","BudSet2019_Plasticity","BudSet2020_Plasticity","BudBreak2020_Plasticity","growth2019_Plasticity","growth2020_Plasticity"
"84","CRA_05","CRA",5,"WV","E",9272017,38.20126,-80.27228,1021,8.6,84,121,35,7857,248,-91,339,164,95,180,-23,1356,140,99,10,381,310,373,310,25.2048222462156,30.4685824881479,26.6522118095726,0.92504828973429,4.90089712882691
"85","CRA_06","CRA",6,"WV","E",9272017,38.19853,-80.27083,1026,45.8,85,122,35,7850,249,-90,339,165,-22,181,-22,1346,139,98,10,379,307,371,307,40.478351735086,30.6688865570709,28.6825650092218,2.0151713572374,3.4847302228022
"86","CRR_01","CRR",1,"PA","M",9122017,41.37048,-76.26347,674,18.2,65,107,30,8769,246,-109,355,154,-52,174,-52,1053,113,62,19,324,196,313,196,22.953979363406,29.4921576657065,30.605743663872,2.16582254099554,0.931347217093613
"87","CRR_02","CRR",2,"PA","M",9122017,41.37093,-76.26328,668,21.9,65,107,30,8769,246,-109,355,154,-52,174,-52,1053,113,62,19,324,196,313,196,34.0614709428687,32.7944746337915,29.7500385530862,0.929513371225918,2.74415195543252
"88","DG_04","DG",4,"NC","E",9002016,35.78115,-82.2597,1955,40.1,68,98,33,6918,207,-84,291,139,-24,155,-24,1826,170,129,9,496,403,492,403,16.116828686128,27.43763990587,26.6700687109942,2.75551174237939,2.75122098851237
"89","DG_05","DG",5,"NC","E",9002016,35.78197,-82.25905,1915,44.5,68,98,33,6918,207,-84,291,139,-24,155,-24,1826,170,129,9,496,403,492,403,14.9961266227112,27.0024060375128,26.2091810917173,3.8592231695562,3.30214872033573
"90","DG_06","DG",6,"NC","E",9002016,35.78233,-82.25908,1908,45.6,68,98,33,6918,207,-84,291,139,-24,155,-24,1826,170,129,9,496,403,492,403,26.5131870403364,26.5359452917014,25.5975376808367,3.89238329573056,3.8732901348576
"91","DG_08","DG",8,"NC","E",9002016,35.78377,-82.25858,1897,28.1,74,103,35,6903,215,-79,294,145,-18,160,-18,1760,165,124,9,479,388,475,388,24.0110351235955,29.8057669419756,28.7713769217097,2.85117738639435,2.86471518934611
"92","DG_10","DG",10,"NC","E",9002016,35.786327,-82.25755,1922,55.4,69,99,33,6915,208,-84,292,140,-23,155,-23,1818,169,128,9,494,400,489,400,25.7815725262334,24.9236639947551,27.0794658344236,3.85937308084864,3.61667791934384
"93","EQU_01","EQU",1,"VT","C",9212017,43.13636,-73.13577,608,40.3,52,114,29,9444,244,-142,386,170,-63,170,-74,1293,126,84,11,353,273,353,282,26.4523620099069,23.1471394790771,31.5837579368669,1.28881364733105,3.71281892528113
