plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
AB_08_NC_E,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,E,4,47,4,4,5,198
AB_12_MD_A,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,A,4,48,4,4,6,209
AB_12_MD_B,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,B,6,68,5,6,12,199
AB_12_MD_C,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,C,4,17,2,4,3,217
AB_12_MD_D,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,D,5,17,2,5,3,202
AB_12_VT_B,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,B,4,20,2,4,6,249
AB_12_VT_C,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,C,2,60,5,2,4,249
AB_12_VT_A,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,A,5,31,3,5,3,236
AB_12_VT_D,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,D,2,3,1,2,3,236
AB_12_VT_E,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,E,4,31,3,4,3,244
AB_12_NC_C,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,C,5,17,2,5,3,202
AB_12_NC_B,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,B,4,17,2,4,3,206
AB_12_NC_D,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,D,4,48,4,4,6,202
AB_12_NC_E,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,E,2,60,5,2,4,198
AB_16_MD_A,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,A,6,12,1,6,12,243
AB_16_MD_B,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,B,2,26,2,2,12,238
AB_16_MD_D,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,D,5,10,1,5,10,202
AB_16_NC_A,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,A,2,54,4,2,12,241
AB_16_NC_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,E,4,41,3,4,13,221
AB_16_VT_A,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,A,3,61,5,3,5,278
AB_16_VT_B,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,B,2,59,5,2,3,271
AB_16_VT_D,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,D,2,26,2,2,12,244
AB_16_VT_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,E,3,62,5,3,6,200
AB_16_MD_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,E,4,27,2,4,13,203
AB_18_NC_A,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,A,6,24,2,6,10,200
AB_18_NC_D,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,D,4,18,2,4,4,197
AB_18_NC_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,E,3,5,1,3,5,197
AB_18_VT_B,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,B,4,46,4,4,4,222
AB_18_VT_C,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,C,3,5,1,3,5,236
AB_18_VT_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,E,5,5,1,5,5,197
AB_18_VT_D,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,D,6,52,4,6,10,236
AB_18_MD_A,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,A,4,32,3,4,4,197
AB_18_MD_B,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,B,6,52,4,6,10,199
AB_18_MD_C,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,C,3,66,5,3,10,202
