"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","cGDD","BudSet","Growth"
"AB_12_VT_E","AB_12","AB","Edge",35.5389,83.49463,1750,"E","Vermont_E","Vermont",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5,523.95,244,15
"AB_12_VT_B","AB_12","AB","Edge",35.5389,83.49463,1750,"B","Vermont_B","Vermont",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5,591.2,249,30.5
"AB_12_VT_A","AB_12","AB","Edge",35.5389,83.49463,1750,"A","Vermont_A","Vermont",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5,568.5,236,20
"AB_12_NC_B","AB_12","AB","Edge",35.5389,83.49463,1750,"B","North_Carolina_B","North_Carolina",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5,750.9,206,19
"AB_12_VT_C","AB_12","AB","Edge",35.5389,83.49463,1750,"C","Vermont_C","Vermont",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5,591.2,249,14.5
"AB_12_MD_D","AB_12","AB","Edge",35.5389,83.49463,1750,"D","Maryland_D","Maryland",-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5,696.9,202,22.5
"AB_16_NC_A","AB_16","AB","Edge",35.53882,83.49534,1738,"A","North_Carolina_A","North_Carolina",-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5,777.7,241,19
"AB_16_MD_A","AB_16","AB","Edge",35.53882,83.49534,1738,"A","Maryland_A","Maryland",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5,585.4,243,16.2
"AB_16_MD_B","AB_16","AB","Edge",35.53882,83.49534,1738,"B","Maryland_B","Maryland",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5,674.8,238,17
"AB_16_VT_B","AB_16","AB","Edge",35.53882,83.49534,1738,"B","Vermont_B","Vermont",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5,568.5,271,31.5
"AB_16_MD_D","AB_16","AB","Edge",35.53882,83.49534,1738,"D","Maryland_D","Maryland",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5,674.8,202,17.5
"AB_16_NC_E","AB_16","AB","Edge",35.53882,83.49534,1738,"E","North_Carolina_E","North_Carolina",-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5,684.95,221,17.5
"AB_16_MD_E","AB_16","AB","Edge",35.53882,83.49534,1738,"E","Maryland_E","Maryland",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5,693.8,203,21
"AB_16_VT_D","AB_16","AB","Edge",35.53882,83.49534,1738,"D","Vermont_D","Vermont",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5,591.2,244,19.5
"AB_16_VT_E","AB_16","AB","Edge",35.53882,83.49534,1738,"E","Vermont_E","Vermont",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5,554.55,200,11
"AB_18_VT_E","AB_18","AB","Edge",35.53945,83.49375,1769,"E","Vermont_E","Vermont",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5,591.2,197,20
"AB_18_VT_C","AB_18","AB","Edge",35.53945,83.49375,1769,"C","Vermont_C","Vermont",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5,591.2,236,13.5
"AB_18_NC_A","AB_18","AB","Edge",35.53945,83.49375,1769,"A","North_Carolina_A","North_Carolina",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5,626.35,200,23
"AB_18_MD_A","AB_18","AB","Edge",35.53945,83.49375,1769,"A","Maryland_A","Maryland",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5,687.4,197,12.5
"AB_18_MD_C","AB_18","AB","Edge",35.53945,83.49375,1769,"C","Maryland_C","Maryland",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5,665.65,202,14
"AB_18_MD_E","AB_18","AB","Edge",35.53945,83.49375,1769,"E","Maryland_E","Maryland",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5,679.3,237,1.5
"AB_18_NC_D","AB_18","AB","Edge",35.53945,83.49375,1769,"D","North_Carolina_D","North_Carolina",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5,684.95,197,16
"AB_18_VT_D","AB_18","AB","Edge",35.53945,83.49375,1769,"D","Vermont_D","Vermont",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5,568.5,236,16.5
"AB_18_VT_B","AB_18","AB","Edge",35.53945,83.49375,1769,"B","Vermont_B","Vermont",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5,538.3,222,16.5
"AB_18_MD_B","AB_18","AB","Edge",35.53945,83.49375,1769,"B","Maryland_B","Maryland",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5,696.9,199,17.5
